Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-12-12,15.8574,15.9564,15.402,15.7386,18766.523076092
2022-12-13,15.7386,16.2336,15.5604,15.9366,16571.235896702
2022-12-14,15.996,16.2336,15.9366,16.095,19375.707691449
2022-12-15,16.095,16.1346,14.8478,14.9862,46845.589741514
2022-12-16,14.8082,14.8082,14.2934,14.5508,150317.0615318
2022-12-19,14.6498,15.204,14.6102,14.8478,263488.00511653
2022-12-20,14.8478,15.0258,14.4518,14.6696,51013.907690048
2022-12-21,14.6696,14.6696,14.4716,14.531,31320.979485792
2022-12-22,14.4716,14.6696,14.2538,14.2934,131707.12819929
2022-12-23,14.3528,14.3528,14.0756,14.1944,27181.958973155
2022-12-27,14.1944,14.333,13.8578,13.8776,58062.466664094
2022-12-28,13.8578,13.9172,13.6402,13.8578,152495.17435222
2022-12-29,13.7786,14.531,13.7786,13.8578,30573.389742235
2022-12-30,14.135,14.135,13.7984,13.8776,24259.287178412
2023-01-02,13.8578,14.6102,13.7588,14.5706,17236.994871031
2023-01-03,14.9072,15.6396,14.8676,15.0456,59502.082048646
2023-01-04,14.9862,15.402,14.8676,14.9468,50470.389741354
2023-01-05,15.0852,15.2832,14.6498,14.8478,50495.646151609
2023-01-09,14.9468,15.2832,14.8874,14.927,31070.435896059
2023-01-10,15.1842,15.1842,14.8676,14.927,30937.082049911
2023-01-11,15.0654,16.1346,14.9468,15.897,227905.76409247
2023-01-12,16.0158,17.164,15.9564,16.5304,247720.93332236
2023-01-13,16.9066,17.0254,16.5304,16.6294,71445.333330168
2023-01-16,17.0254,18.1142,16.7284,17.8172,329637.57434437
2023-01-17,18.0152,18.2132,17.362,17.9162,110705.91794381
2023-01-18,17.9954,18.0548,17.5402,17.738,57029.984612858
2023-01-19,17.7182,17.7182,16.867,17.1244,74283.143586452
2023-01-20,17.6192,17.6192,17.3422,17.4214,23274.287178456
2023-01-23,17.7182,17.7974,17.4214,17.5204,51864.543587446
2023-01-24,17.6984,17.7578,17.164,17.263,64246.246151
2023-01-25,17.4016,17.6192,16.9264,17.0254,27075.882050082
2023-01-26,17.1244,17.2828,17.0254,17.1244,33823.384613886
2023-01-27,17.2036,17.461,17.0254,17.2234,31727.102562697
2023-01-30,17.3422,17.3422,16.9462,17.0254,16058.025640314
2023-01-31,17.1838,17.2234,17.0254,17.0452,28462.964101303
2023-02-01,17.1244,17.6786,16.9462,16.9462,34578.046152314
2023-02-02,17.2234,17.4016,17.0452,17.2234,22360.005127214
2023-02-03,17.2036,17.2036,16.2336,16.8274,54816.512818084
2023-02-06,16.966,17.2234,16.3324,16.5106,53803.225638642
2023-02-07,16.5106,16.7284,16.2336,16.3126,54980.174356538
2023-02-08,16.5106,16.8274,16.4314,16.768,33050.538460074
2023-02-09,16.8274,17.0848,16.57,16.6294,22997.476922058
2023-02-10,16.6294,16.669,16.0554,16.6294,27707.292306465
2023-02-13,16.9066,17.0254,16.3324,16.4314,23355.107691273
2023-02-14,16.4314,16.6096,16.3522,16.4314,22205.435896452
2023-02-15,16.7086,16.7086,16.2533,16.372,31125.999998621
2023-02-16,16.669,16.669,16.3126,16.4314,9127.6666662623
2023-02-17,16.4314,16.5304,16.3126,16.4314,20394.046152943
